Month,Consumption_kWh,Bill_Amount
Sep-24,18175.0,319677.0
Oct-24,13492.0,161071.0
Nov-24,17119.0,224565.0
Dec-24,13876.0,191360.0
Jan-25,,
Feb-25,,
Mar-25,18184.0,217471.0
Apr-25,20478.0,248368.0
May-25,18439.0,235261.0
Jun-25,18004.0,217716.0
Jul-25,17607.0,207449.0
Aug-25,17113.0,204323.0
Sep-25,18047.0,213537.0
,,
